iter	Passed	Remaining
951	14422	727
952	14435	711
953	14451	696
954	14466	681
955	14481	666
956	14497	651
957	14511	636
958	14527	621
959	14542	605
960	14557	590
961	14574	575
962	14590	560
963	14604	545
964	14619	530
965	14633	515
966	14652	500
967	14671	485
968	14689	469
969	14706	454
970	14721	439
971	14733	424
972	14747	409
973	14759	393
974	14775	378
975	14790	363
976	14804	348
977	14819	333
978	14835	318
979	14850	303
980	14863	287
981	14873	272
982	14884	257
983	14896	242
984	14907	227
985	14918	211
986	14936	196
987	14949	181
988	14958	166
989	14968	151
990	14978	136
991	14989	120
992	14999	105
993	15009	90
994	15019	75
995	15028	60
996	15038	45
997	15049	30
998	15060	15
999	15069	0
